program_slug,core_defaults
accounting-bba,"MATH 1301,UHD 1301,UHD 2301,UHD 2301"
applied-administration-baas,
applied-administration-fire-protection-engineering-technology-concentration-baas,
applied-administration-manufacturing-and-process-engineering-technology-concentration-baas,
applied-administration-petroleum-engineering-technology-concentration-baas,
applied-administration-safety-management-concentration-baas,
applied-statistics-biostatistics-concentration-bs,"MATH 2305,BIOL 1301,BIOL 1101,BIOL 1302,BIOL 1102"
applied-statistics-bs,MATH 2305
applied-statistics-secondary-mathematics-teacher-certification-bs,MATH 2305
biological-and-physical-sciences-bs,
biological-and-physical-sciences-teacher-certification-concentration-bs,
biology-bs,
biology-environmental-biosciences-concentration-bs,
biology-microbiology-concentration-bs,
biology-molecular-and-cellular-biosciences-concentration-bs,
biotechnology-bs,
chemistry-biochemistry-concentration-bs,
chemistry-bs,
chemistry-environmental-chemistry-concentration-bs,
chemistry-forensic-science-concentration-bs,CJ 1301
chemistry-industrial-chemistry-concentration-bs,
communication-studies-corporate-communications-concentration-ba,
communication-studies-health-communications-concentration-ba,
communication-studies-interpersonal-communications-concentration-ba,
communication-studies-rhetorical-public-communication-concentration-ba,
computer-science-bs,MATH 2305
control-and-instrumentation-engineering-technology-bset,"MATH 2401,PHYS 1307,PHYS 1107,PHYS 1308,PHYS 1108"
criminal-justice-baas,
criminal-justice-bs,
english-ba,
english-creative-writing-concentration-ba,
english-english-education-concentration-ba,
english-film-studies-concentration-ba,
finance-bba,"MATH 1301,UHD 1301,UHD 2301,UHD 2301"
fine-arts-ba,
general-business-bba,"MATH 1301,UHD 1301,UHD 2301,UHD 2301"
geosciences-environmental-geology-concentration-bs,
geosciences-geochemistry-concentration-bs,
geosciences-petroleum-geotechnology-concentration-bs,
health-and-behavioral-science-aging-concentration-bs,
health-and-behavioral-science-healthcare-navigation-concentration-bs,
history-ba,
history-history-secondary-education-concentration-ba,"HIST 1305,HIST 1306"
history-history-social-studies-secondary-education-concentration-ba,"HIST 1305,HIST 1306"
humanities-critical-race-studies-concentration-ba,
humanities-cultural-studies-concentration-ba,
humanities-latino-studies-concentration-ba,
humanities-religious-studies-concentration-ba,
insurance-risk-management-bba,"MATH 1301,UHD 1301,UHD 2301,UHD 2301"
interdisciplinary-studies-bs,
interdisciplinary-studies-early-childhood-fourth-eighth-grade-core-subjects-with-esl-supplemental-certification-ba,
interdisciplinary-studies-early-childhood-sixth-grade-core-subjects-with-bilingual-supplemental-certification-ba,
interdisciplinary-studies-early-childhood-sixth-grade-core-subjects-with-esl-supplemental-certification-ba,
international-business-bba,"MATH 1301,UHD 1301,UHD 2301,UHD 2301"
management-bba,"MATH 1301,UHD 1301,UHD 2301,UHD 2301"
management-information-systems-bba,"MATH 1301,UHD 1301,UHD 2301,UHD 2301"
marketing-bba,"MATH 1301,UHD 1301,UHD 2301,UHD 2301"
mathematics-ba,MATH 2409
mathematics-bs,MATH 2409
mathematics-secondary-mathematics-teacher-certification-ba,MATH 2409
philosophy-ba,
political-science-bs,
professional-writing-bs,
psychology-bs,
safety-management-baas,
social-sciences-ba,
social-sciences-bs,
social-work-bsw,"ANTH 2302,PSY 1303,SOC 1303,SOCW 2361,SOCW 2363"
social-work-spanish-track-option-bsw,"ANTH 2302,PSY 1303,SOC 1303,SOCW 2361,SOCW 2363"
sociology-bs,
spanish-ba,
structural-analysis-design-option-in-engineering-technology-bset,"MATH 2401,PHYS 1307,CHEM 1307"
supply-chain-management-bba,"MATH 1301,UHD 1301,UHD 2301,UHD 2301"
